1;2;3;4;5;6;7;8;9;10;11;12
-0.00000015;0.00000008;-0.00000035;0.00000027;-0.00000831;-0.00000022;0.00000000;-0.00000035;0.00000031;0.00000042;0.00000021;-0.00000992
0.00000681;-0.00000533;0.00001528;-0.00001161;0.00041810;0.00001072;0.00000000;0.00001496;-0.00001293;-0.00001927;-0.00000938;0.00049942
-0.00010979;0.00011373;-0.00022921;0.00016099;-0.00758735;-0.00019420;0.00000000;-0.00021342;0.00017789;0.00030230;0.00013782;-0.00905327
0.00072778;-0.00091055;0.00137806;-0.00080638;0.05972042;0.00148615;0.00000000;0.00116075;-0.00084901;-0.00179865;-0.00074564;0.07109161
0.25431876;0.26031556;0.25267078;0.25758339;0.06463999;0.25162071;0.25000000;0.25492907;0.25788998;0.26005199;0.25925166;0.03156134
0.00073658;-0.00083580;0.00090969;-0.00030589;0.17343716;0.00175152;0.00000000;0.00065157;-0.00009041;-0.00094667;-0.00037784;0.20818681
